UserName,Handle,Timestamp,Comments,Likes,Retweets,Text
Wahid Russo,@crashwawa,2019-10-29T08:15:31.000Z,"#Netflix met en open source son outil  #Polynote #BigData #MachineLearningNetflix open-source Polynote pour simplifier la Data Science et le Machine Learning
Netflix annonce l'open-sourcing de sa solution développée en interne Polynote pour simplifier les workflows de Data Science et de Machine Learning.
lebigdata.fr",,5,
amar naik,@amarrnaik,2019-10-28T18:14:06.000Z,"#DataScience
#MachineLearning
#OpenSource
#polynoteOpen-sourcing Polynote: an IDE-inspired polyglot notebook
Jeremy Smith, Jonathan Indig, Faisal Siddiqi
netflixtechblog.com",,6,4
RecruitingAffiliates,@RABigdatajobs,2019-10-28T17:13:46.000Z,"#ICYMI - Now a worthy competitor for #JupyterNotebook...#Netflix open sources #PolynoteWhat You Need to Know About Netflix’s ‘Jupyter Killer’: Polynote
It’s about time Jupyter Notebook has its worthy competitor
towardsdatascience.com",,,
metasfresh,@metasfresh,2019-10-28T04:10:03.000Z,"Netflix #OpenSources #Polynote to simplify data science and machine learning workflowsNetflix open-sources Polynote to simplify data science and machine learning workflows
Netflix today open-sourced Polynote, a freely available tool designed to bolster data science and machine learning development.
venturebeat.com",,5,5
ERDev,@ERDev882,2019-10-28T01:47:39.000Z,"How many people out there are excited to play with #Polynote? I'm hoping this builds a good community (said as someone who wants to develop PySpark, Scala, and pipelining skills).",,,1
 René Solis,@IoTeacher,2019-10-28T00:17:18.000Z,"What You Need to Know About Netflix’s ‘#Jupyter Killer’: #Polynote What You Need to Know About Netflix’s ‘Jupyter Killer’: Polynote
It’s about time Jupyter Notebook has its worthy competitor
towardsdatascience.com",,,
Data Scientists,@DataScientistsF,2019-10-27T19:16:05.000Z,"Netflix open-sources Polynote to simplify data science and machine learning workflows  https://venturebeat.com/2019/10/23/netflix-open-sources-polynote-to-simplify-data-science-and-machine-learning-workflows/… … via 
@VentureBeat
 #polynote #netflix #opensource #datascience #MachineLearning - https://twitter.com/GabriellePrat/status/1188519642823823364… #DataScience thanks 
@RichardEudesQuote Tweet
Gabrielle Prat
@GabriellePrat
 · Oct 27, 2019
Netflix open-sources Polynote to simplify data science and machine learning workflows https://venturebeat.com/2019/10/23/netflix-open-sources-polynote-to-simplify-data-science-and-machine-learning-workflows/… via @VentureBeat #polynote #netflix #opensource #datascience #MachineLearning",,3,
Big Data Analytics,@BigData_Fr,2019-10-27T19:09:25.000Z,"Netflix open-sources Polynote to simplify data science and machine learning workflows  https://venturebeat.com/2019/10/23/netflix-open-sources-polynote-to-simplify-data-science-and-machine-learning-workflows/… … via 
@VentureBeat
 #polynote #netflix #opensource #datascience #MachineLearning https://twitter.com/GabriellePrat/status/1188519642823823364#BigData… #Analytics thanks 
@RichardEudesQuote Tweet
Gabrielle Prat
@GabriellePrat
 · Oct 27, 2019
Netflix open-sources Polynote to simplify data science and machine learning workflows https://venturebeat.com/2019/10/23/netflix-open-sources-polynote-to-simplify-data-science-and-machine-learning-workflows/… via @VentureBeat #polynote #netflix #opensource #datascience #MachineLearning",,,
Gabrielle Prat,@GabriellePrat,2019-10-27T18:15:39.000Z,"Netflix open-sources Polynote to simplify data science and machine learning workflows https://venturebeat.com/2019/10/23/netflix-open-sources-polynote-to-simplify-data-science-and-machine-learning-workflows/… via 
@VentureBeat
 #polynote #netflix #opensource #datascience #MachineLearningNetflix open-sources Polynote to simplify data science and machine learning workflows
Netflix today open-sourced Polynote, a freely available tool designed to bolster data science and machine learning development.
venturebeat.com",,9,2
Knowbella Tech,@knowbella,2019-10-27T17:52:17.000Z,"New #OpenSource #Polynote to Make #DataScienceNotebooks Better

The new notebook environment provides substantial improvements to streamline experimentation in #MachineLearning workflows.

Thanks to Netflix

#IDE #Python #OpenData…https://lnkd.in/e93EjQX https://lnkd.in/e-v2NiAJason E. Barkeloo 杰森 posted on LinkedIn
New #OpenSource #Polynote to Make #DataScienceNotebooks Better The new notebook environment provides substantial improvements to streamline experimentation...
linkedin.com",,2,2
Dataiku,@dataiku,2019-10-27T16:07:59.000Z,"@Netflix
 open sources #Polynote to simplify data science workflows. | http://bit.ly/36ajUjk #datascience #ai #artificialintelligence #machinelearning #tech #coding #AI #neuralnetwork #algorithm #analyses #data #science #datascientistNetflix Open Sources Polynote, Opening up Machine Learning Workflows for All
In a bid to try and keep machine learning and science data as simple as possible, Netflix has open-sourced its Polynote platform.
interestingengineering.com",,,
Craig Milroy,@CraigMilroy,2019-10-27T12:48:02.000Z,"What You Need to Know About #Netflix’s ‘#Jupyter Killer’: #Polynote 
 by 
@lymenlee
 https://buff.ly/2BJgVQF #datascience #python #MachineLearning #AI #Cloud",,,
Aditya Gupta,@adityaguptai,2019-10-27T04:43:58.000Z,"The future of Jupyter Notebooks is here.
Netflix open sources their Amazing Jupyter Notebook like IDE named #PolyNote.

Its truly PolyNote as you can run #Scala, #Python and #SQL in the same Notebook in different cells. It's supports Apache #Spark as wellOpen-sourcing Polynote: an IDE-inspired polyglot notebook
Jeremy Smith, Jonathan Indig, Faisal Siddiqi
link.medium.com",,,
RMS,@RochMNseo,2019-10-27T01:23:42.000Z,"https://venturebeat.com/2019/10/23/netflix-open-sources-polynote-to-simplify-data-science-and-machine-learning-workflows/…

#polynote #MachineLearningNetflix open-sources Polynote to simplify data science and machine learning workflows
Netflix today open-sourced Polynote, a freely available tool designed to bolster data science and machine learning development.
venturebeat.com",,2,
__bathia_mkwr__,@bathia_mkwr,2019-10-26T17:47:37.000Z,"Netflix just announced the open-source launch of #Polynote, a new #Polyglot #notebook type that supports multiple languages, including #Python, with #ApacheSpark integration, #Scala support, and as-you-type autocomplete among other things.

Github: https://lnkd.in/eCBqjNH",,1,3
Oleg Shvaikovsky,@shvaikovsky,2019-10-25T20:00:32.000Z,"#Netflix just announced the #OpenSource launch of #Polynote,  new Polyglot notebook type that supports multiple #languages, including #Python, with #Apache #Spark integration, first-class #Scala support, as-you-type autocomplete, and more
#MachineLearningNetflix just open-sourced Polynote, a cool Machine Learning, and Data Science workflow tool |...
Netflix just open-sourced Polynote, a cool machine learning, and data science workflow tool. Netflix just announced the open-source launch of Polynote,
marktechpost.com",1,,2
Andrew Willacy,@awillacy,2019-10-25T19:13:01.000Z,#Netflix open-sources #Polynote to simplify data science and machine learning workflows https://buff.ly/33UP3oF,,1,3
Mukund Srinivasan,@msriniva,2019-10-25T18:01:42.000Z,"One of the most relevant and practical applications of #AI viz. #Recommendation engine & #Personalization models, get democratized, courtesy 
@Netflix
's open sourcing of #Polynote. #DataScienceNetflix open-sources Polynote to simplify data science and machine learning workflows
Netflix today open-sourced Polynote, a freely available tool designed to bolster data science and machine learning development.
venturebeat.com",,1,1
Yuriy Pakhotin,@pakhotin,2019-10-25T15:39:21.000Z,"New but potentially promising player enters the Game of Notebooks! Netflix released to open source domain #Polynote which is a new experimental #notebook environment for #DataScience and #MachineLearning. It is similar to #Jupyter and #Zeppelin but it ena…Yuriy Pakhotin posted on LinkedIn
New but potentially promising player enters the Game of Notebooks! Netflix released to open source domain #Polynote which is a new experimental #notebook...
linkedin.com",,,
hwingo,@hwingo,2019-10-25T14:27:18.000Z,"#Netflix open-sources #Polynote to simplify #datascience & #machineLearning workflows

https://venturebeat.com/2019/10/23/netflix-open-sources-polynote-to-simplify-data-science-and-machine-learning-workflows/…
via 
@VentureBeat
 @rudyagovic
 @netflix
#OpenSource #ApacheSpark #Scala #Python #SQL #innovation #AI #DevOps #techGIF",,1,
Ian Yorston,@IanYorston,2019-10-25T14:08:36.000Z,"#DataScience

#PolyNote is a notebook environment that integrates the 
@NetflixResearch
 JVM-based ML platform — which makes heavy use of #Scala — with the #Python ecosystem’s popular #MachineLearning and visualization libraries.Open-sourcing Polynote: an IDE-inspired polyglot notebook
Jeremy Smith, Jonathan Indig, Faisal Siddiqi
netflixtechblog.com",1,,
Miguel Ballesteros,@mi_balle,2019-10-25T10:32:10.000Z,"Sounds good, let's see when I'll have thechanceto play with it. #polynoteNetflix open-sources Polynote to simplify data science and machine learning workflows
Netflix today open-sourced Polynote, a freely available tool designed to bolster data science and machine learning development.
venturebeat.com",,,
JAXenter.com,@JAXenterCOM,2019-10-25T10:03:59.000Z,#Netflix adds to open source with Mantis and #Polynote http://bit.ly/31QmmYV,,,
Unit8,@unit8co,2019-10-25T08:04:49.000Z," Unit8’s Friday recommended read 
: Thanks 
@netflix
  for open-sourcing #Polynote - a new, polyglot notebook with good Scala support! Happy Friday everyone and enjoy the read! #unit8 #Netflix #Polynote #notebook #Scala #AI #MLOpen-sourcing Polynote: an IDE-inspired polyglot notebook
Jeremy Smith, Jonathan Indig, Faisal Siddiqi
netflixtechblog.com",,1,2
