UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
𝑅𝓊𝒽𝓈𝓊𝓏,@xblackmannn,2020-10-14T09:42:52.000Z,"Abi ben TURKCELL kullanıyorum ldkkdkd 
#Turkcell 
#vodafone",,3,,10
Mehmet,@Mehmet89872336,2020-10-14T08:38:56.000Z,Turkcellsuperonline kullanicisiyim bu kadar müşterilerine ilgisiz bir firma görmedim kac gündür evimde internet olmadığı söylüyorum  bu sebebten dolayı  home-office çalışan bir insan olduğumdan dolayi   işimden  de mağdur  oluyorum  #turkcellsuperonline #Turkcell,,1,,
Erdal Özyiğit,@ozyigite,2020-10-14T08:28:56.000Z,"#tcell #turkcell #hisse 
 işaret edilen geri çekilmenin daha fazla devam ettiğini, ardından ise yükselişe geçtiğini görüyoruz. %24 Düzeltme Seviyesi 16,39lar üzerinde kalabildiği sürece yükselişini devam ettirmek isteyebilir.Quote Tweet
Erdal Özyiğit
@ozyigite
 · Sep 11
#tcell #turkcell #hisse %50 Seviyesi 14,76 altında kaldığı sürece, %62 Seviyesi 14,04lere kadar geri çekilme devam edebilir. Bu sadece Teknik İHTİMAL olup, gerçekleşmesi gerekmez. twitter.com/ozyigite/statu…",👇,,1,3
Fiberland Dijital Teknolojileri,@Fiberlandtsol,2020-10-14T08:13:43.000Z,Turkcell yöneticilerimizle Q3 değerlendirme sunumumuzu gerçekleştirdik. Katılım  ve desteklerinden dolayı teşekkür ederiz. #Turkcell #Fiberland https://instagram.com/p/CGURvYpFsSH/?igshid=15tcue4go7vcs…,,,,1
Tarzz,@tarzz_net,2020-10-14T07:14:09.000Z,"#Turkcell, #koronavirüs döneminde mağazalarında teması minimuma indirgemek için “temassız mağazacılık” uygulamasını başlattı. 
#TarzzTurkcell’den ‘temassız mağazacılık’
Turkcell, COVID-19 döneminde mağazalarında teması minimuma indirgemek için “temassız mağazacılık” uygulamasını başlattı. Uygulama ile müşterilerinin, Turkcell mağazalarında dijital ekra…
tarzz.net",,,,
Sevcan Caliskan,@SevcanCaliskan,2020-10-13T18:41:06.000Z,#superonline #turkcell Paket degisikligi yapmadigim ve buna onay vermedigim halde ki eger paket alsam +50 tl verecegim seye neden 120 tl verme gafletinde bulunayim.. ben paket degisikligine ONAY VERMEDIM!!!,,1,,1
Sevcan Caliskan,@SevcanCaliskan,2020-10-13T18:39:18.000Z,"Sevgili #superonline ve #turkcell insanlara telefonda soylediginiz yalanlarla paketinize ek olarak ucretsiz veriyoruz dediginiz tv box a para almak nedir, ya da telefonda soylediginiz seyin aksine insanlar okumuyo diye imzalattiginiz dokumanlarla fatura gecirmek de neyin nesi?",,2,,1
Yurdaer Kılan,@Yurdaer_Kilan,2020-10-13T18:35:30.000Z,"Replying to 
@TurkcellHizmet
 and 
@tascii1903İzmir ortasında telefon hattı çekmeyen operatör  istiyorsanız kesin 
@Turkcell
 e geçmelisiniz..#Turkcell",,1,,1
Osman BOZGEYİKLER,@TheCedayOsman,2020-10-13T18:12:23.000Z,"Replying to 
@Turkcell
 @BiPMobil
 and 
@paycellyani ne desem az kalır gibi müşteri hizmetlerini arıyorum ana paket değişimi için yükseltmek için arıyorum bekle ki müşteri hizmetleri telefonu açsın 15 dkdır açmamak ne demek #turkcell",,1,,
Beyza,@susamsokagi11,2020-10-13T17:18:03.000Z,"Bağlan turkcelle hayata 
Ezberledim yaa yeter bi cevap verin artık 
#turkcell",,1,,8
NecdeT,@5ncdt9,2020-10-13T16:59:16.000Z,"@VodafoneDestek
 @VodafoneTR
 Bağlantı hızı için 16 mb parası ödüyorum şuanda 1 mb bile görmüyorum maksimum 900 kb haram zıkkım olsun yıllardır ödediğimiz paralara sürekli aynı sorun. Artık #turkcell e geçme vakti geldi yeter.#vodafonepismanlıktır #Vodafone",🎥 📰 📺 📻,1,2,
Merve,@delireceklerden,2020-10-13T16:04:41.000Z,"Yıllar sonra #fizy silip #spotify kullanıyorsam, #Turkcell bi kendini sorgula cnm. 30 sn. ne ya? :)",,,,1
İsmail Meneviş,@MenevisIsmail,2020-10-13T15:41:15.000Z,"Replying to 
@takasmatik2#Turkcell teşekkürler",,,,
Озґюр,@ThaiKhe,2020-10-13T15:14:11.000Z,"@Turkcell
 @TurkcellHizmet
 #Turkcell  Sizden kurtulmama sadece 7 gün kaldı. Adeta günler geçmiyor, şafak sayıyorum. 7 gün sonra Turkcell adını bile duymak istemiyorum. Sizin aboneniz olmak, resmen kabus gibiydi.",,1,,
Mustafa,@Mustafa17890177,2020-10-13T12:01:48.000Z,"#Vodafonedestek tarifem bitiyor , biteceği günü ip ile cekiyorum , #Turkcell sizden güzel bir teklif bekliyorum",,1,,
Mojna,@mojnaxi,2020-10-13T11:45:18.000Z,"Telsiz Kullanım ücreti / Elektronik haberleşme kanunu. #turkcell #vodafone #avea #turktelekom #bimcell #telsim #aycell #aria #shubuo #yokoyleyagmaQuote Tweet
Mojna
@mojnaxi
 · Oct 13
Sürekli zamlanıyor. Zaten telefon faturasında yeteri kadar KDV, ÖTV ödemiyor muyum? Telefon alırken bile zaten yeteri kadar ödemedim mi? hattı olan herkesten alındığını düşünürsek eğer güzel temiz para. akmasa da damlar bazıları için. damla dediysem düden şelalesi gibi yani.",,,1,2
mutluaymehmet,@MutluayMehmet,2020-10-13T10:16:49.000Z,"Süperonline 21 gündür, Vodafone net 8 gündür bir bağlantı yapamadı, insanı pisliğe tahrik ediyor bu terbiyesiz kurumlar , Allah sizin belanızı versin
#Vodafone 
#turkcell
#süperonline",,,,1
Ogün Yayla,@OgnYayla1,2020-10-13T10:08:51.000Z,#turktelekom dan #turkcell  e geçtim pişman ettiniz. İnternetiniz leş reklama gelince fiber cart curt ama icraat eşek arabası. #turkcellozurdile,,,,2
Ogün Yayla,@OgnYayla1,2020-10-13T10:06:17.000Z,Senin sorunun ne bilader #turkcell,,,1,3
Arrow,@Ti3arrow,2020-10-13T10:02:27.000Z,#Vodafone dan kurtuldum. yollara düşüp sinyal aramaktan kurtuldum şükürler olsun... #TURKCELL le bağlandım hayata....,,1,,
Volkan ÖZTÜRK,@EVozturk,2020-10-13T09:39:06.000Z,"@Turkcell
 @TurkcellHizmet
 #turkcell
6-vs. ödemek zorunda kaldım.
Kullandığım 2 hatta yeni tarife tanımlamasının 12.10.2020’de yapıldığını, gelen mesajlarla öğrendim. 13.10.2020’de genel müdürlükten arayan temsilci yeni tarifeye geçtiğimin bilgisini verdi. Bende  tarafıma taahhüt",,,,
Volkan ÖZTÜRK,@EVozturk,2020-10-13T09:37:54.000Z,"@Turkcell
 @TurkcellHizmet
 #turkcell 
2-sonrasında kullandığım bir hattım için 15 gb+1000 dak. için 12 ay (ya da 24 ay için) fatura ödemeyeceğimi, kullandığım diğer hattım için ise, 4 gb+1000 dk için aylık 29TL (ya da 30 TL)  bedel ödeyeceğimi ilettiler. Bende kabul ederek",,,,
Volkan ÖZTÜRK,@EVozturk,2020-10-13T09:36:45.000Z,"@Turkcell
 @TurkcellHizmet
 #turkcell 
5-Hatların 9 tanesi 07.10.2020’de iptal edildi, bir tanesinin iptal işlemi unutulmuştu. Tekrar talep oluşturdum. Bu arada hiç kullanmadığım hatların bedelini, kullandığım hatlarımın yeni tarifeye geçirilmemiş olması nedeniyle aşım bedellerini",,,,
Volkan ÖZTÜRK,@EVozturk,2020-10-13T09:35:29.000Z,"@Turkcell
 @TurkcellHizmet
 #turkcell 
4-Kendisi hanbire işlemleri yapacağını söyleyerek oyaladı. Sonrasında işlemlerin yürütülmesi için yeni birini yönlendirmelerini istedim. Bu kez gelen bayan arkadaş da işlemleri yapacağını söyleyerek oyalamaya devam etti.",,,,
